Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C100, C101, C102, C103, C104, C105, C106, C107, C108, C109, C11, C110, C111, C112, C113, C114, C115, C116, C117, C118, C119, C12, C120, C121, C122, C123, C124, C125, C126, C127, C128, C129, C13, C130, C131, C132, C133, C134, C135, C136, C138, C14, C15, C16, C17, C18, C19, C2, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C4, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C5, C50, C51, C52, C53, C54, C55, C56, C57, C58, C59, C6, C60, C61, C62, C63, C64, C65, C66, C67, C68, C69, C7, C70, C71, C72, C73, C74, C75, C76, C77, C78, C79, C8, C80, C81, C82, C83, C84, C85, C86, C87, C88, C89, C9, C90, C91, C92, C93, C94, C95, C96, C97, C98, C99",0402,136,"1uF,25V,X5R ",C52923
C3,0603,1,"10uF,10V,X5R ",C19702
D1,0603,1,STATUS_LED,C2286
"H1, H2, H3, H4",MountingHole_3.2mm_M3,4,MountingHole,
J1,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x04,
"J2, J3",PinHeader_1x02_P2.54mm_Vertical,2,Conn_01x02,
J2_POWER_IN1,"PhoenixContact_MCV_1,5_2-G-3.81_1x02_P3.81mm_Vertical",1,Conn_01x02,
J3_PROGRAMING_PIN1,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06,
J4,PinHeader_1x08_P2.54mm_Vertical,1,Conn_01x09,
"LED1, LED10, LED100, LED101, LED102, LED103, LED104, LED105, LED106, LED107, LED108, LED109, LED11, LED110, LED111, LED112, LED113, LED114, LED115, LED116, LED117, LED118, LED119, LED12, LED120, LED121, LED122, LED123, LED124, LED125, LED126, LED127, LED13, LED14, LED15, LED16, LED17, LED18, LED19, LED2, LED20, LED21, LED22, LED23, LED24, LED25, LED26, LED27, LED28, LED29, LED3, LED30, LED31, LED32, LED33, LED34, LED35, LED36, LED37, LED38, LED39, LED4, LED40, LED41, LED42, LED43, LED44, LED45, LED46, LED47, LED48, LED49, LED5, LED50, LED51, LED52, LED53, LED54, LED55, LED56, LED57, LED58, LED59, LED6, LED60, LED61, LED62, LED63, LED64, LED65, LED66, LED67, LED68, LED69, LED7, LED70, LED71, LED72, LED73, LED74, LED75, LED76, LED77, LED78, LED79, LED8, LED80, LED81, LED82, LED83, LED84, LED85, LED86, LED87, LED88, LED89, LED9, LED90, LED91, LED92, LED93, LED94, LED95, LED96, LED97, LED98, LED99",XL-1010RGBC-WS2812B,127,WS2812B,C5349953
"Q1, Q2",SOT-416,2,PN2222A,C242260
R1,0402,1,1k,C11702
R2,0402,1,0,C17168
"R3, R4, R5",0402,3,10k,C25744
"SW_BOOTLOAD1, SW_RESET1",SW_Push_1P1T_NO_6x6mm_H9.5mm,2,Switch_SW_Push,DNP
U1,SOT-23-5,1,74AHC1G125,C23654
U_CPU1,ESP32-WROOM-32,1,ESP32-WROOM-32E,C701342
U_POWER1,SOT-89-3,1,UR133AG-33-AB3-C-R__3.3v,C73288
